Year,Zone,Sex,Age Group,Population,Prevalence,Crude Prevalence Rate
01/01/2003 12:00:00 AM,Unknown,F,20 to 29,"12,041","1,009",8.38
01/01/2003 12:00:00 AM,Unknown,F,30 to 39,"9,096",564,6.2
01/01/2003 12:00:00 AM,Unknown,F,40 to 49,"7,260",486,6.69
01/01/2003 12:00:00 AM,Unknown,F,50 to 59,"5,053",357,7.07
01/01/2003 12:00:00 AM,Unknown,F,60 to 69,"2,966",208,7.01
01/01/2003 12:00:00 AM,Unknown,F,70 to 79,"2,021",122,6.04
01/01/2003 12:00:00 AM,Unknown,F,80 +,"1,620",89,5.49
01/01/2003 12:00:00 AM,Unknown,M,0 to 9,"6,325",739,11.68
01/01/2003 12:00:00 AM,Unknown,M,10 to 19,"12,380","1,976",15.96
01/01/2003 12:00:00 AM,Unknown,M,20 to 29,"11,788",785,6.66
01/01/2003 12:00:00 AM,Unknown,M,30 to 39,"8,546",265,3.1
01/01/2003 12:00:00 AM,Unknown,M,40 to 49,"6,974",225,3.23
01/01/2003 12:00:00 AM,Unknown,M,50 to 59,"4,683",145,3.1
01/01/2003 12:00:00 AM,Unknown,M,60 to 69,"2,789",134,4.8
01/01/2003 12:00:00 AM,Unknown,M,70 to 79,"1,554",70,4.5
01/01/2003 12:00:00 AM,Unknown,M,80 +,803,39,4.86
01/01/2003 12:00:00 AM,Western,F,0 to 9,"9,015",816,9.05
01/01/2003 12:00:00 AM,Western,F,10 to 19,"9,664","1,366",14.13
01/01/2003 12:00:00 AM,Western,F,20 to 29,"9,884","1,004",10.16
01/01/2003 12:00:00 AM,Western,F,30 to 39,"12,881",991,7.69
01/01/2003 12:00:00 AM,Western,F,40 to 49,"17,201","1,259",7.32
01/01/2003 12:00:00 AM,Western,F,50 to 59,"15,074","1,214",8.05
01/01/2003 12:00:00 AM,Western,F,60 to 69,"10,284",751,7.3
01/01/2003 12:00:00 AM,Western,F,70 to 79,"7,637",534,6.99
01/01/2003 12:00:00 AM,Western,F,80 +,"6,390",360,5.63
01/01/2003 12:00:00 AM,Western,M,0 to 9,"9,634","1,295",13.44
01/01/2003 12:00:00 AM,Western,M,10 to 19,"10,327","1,771",17.15
01/01/2003 12:00:00 AM,Western,M,20 to 29,"9,818",591,6.02
01/01/2003 12:00:00 AM,Western,M,30 to 39,"12,548",549,4.38
01/01/2003 12:00:00 AM,Western,M,40 to 49,"16,531",658,3.98
01/01/2003 12:00:00 AM,Western,M,50 to 59,"15,003",588,3.92
01/01/2003 12:00:00 AM,Western,M,60 to 69,"10,217",479,4.69
01/01/2003 12:00:00 AM,Western,M,70 to 79,"6,603",326,4.94
01/01/2003 12:00:00 AM,Western,M,80 +,"3,707",205,5.53
01/01/2004 12:00:00 AM,Central,F,0 to 9,"19,197","1,942",10.12
01/01/2004 12:00:00 AM,Central,F,10 to 19,"23,931","4,236",17.7
01/01/2004 12:00:00 AM,Central,F,20 to 29,"24,434","2,970",12.16
01/01/2004 12:00:00 AM,Central,F,30 to 39,"28,163","2,640",9.37
01/01/2004 12:00:00 AM,Central,F,40 to 49,"32,658","3,219",9.86
01/01/2004 12:00:00 AM,Central,F,50 to 59,"25,516","2,648",10.38
01/01/2004 12:00:00 AM,Central,F,60 to 69,"15,558","1,591",10.23
01/01/2004 12:00:00 AM,Central,F,70 to 79,"11,394",963,8.45
01/01/2004 12:00:00 AM,Central,F,80 +,"8,973",638,7.11
01/01/2004 12:00:00 AM,Central,M,0 to 9,"19,742","3,029",15.34
01/01/2004 12:00:00 AM,Central,M,10 to 19,"25,069","5,313",21.19
01/01/2004 12:00:00 AM,Central,M,20 to 29,"23,630","2,104",8.9
01/01/2004 12:00:00 AM,Central,M,30 to 39,"25,732","1,386",5.39
01/01/2004 12:00:00 AM,Central,M,40 to 49,"30,885","1,563",5.06
01/01/2004 12:00:00 AM,Central,M,50 to 59,"24,093","1,167",4.84
01/01/2004 12:00:00 AM,Central,M,60 to 69,"14,630",818,5.59
01/01/2004 12:00:00 AM,Central,M,70 to 79,"9,025",507,5.62
01/01/2004 12:00:00 AM,Central,M,80 +,"4,542",252,5.55
01/01/2004 12:00:00 AM,Eastern,F,0 to 9,"7,576",737,9.73
01/01/2004 12:00:00 AM,Eastern,F,10 to 19,"8,200","1,261",15.38
01/01/2004 12:00:00 AM,Eastern,F,20 to 29,"8,142",714,8.77
01/01/2004 12:00:00 AM,Eastern,F,30 to 39,"9,770",652,6.67
01/01/2004 12:00:00 AM,Eastern,F,40 to 49,"13,787",868,6.3
01/01/2004 12:00:00 AM,Eastern,F,50 to 59,"12,906",939,7.28
01/01/2004 12:00:00 AM,Eastern,F,60 to 69,"8,809",635,7.21
01/01/2004 12:00:00 AM,Eastern,F,70 to 79,"6,321",391,6.19
01/01/2004 12:00:00 AM,Eastern,F,80 +,"5,490",310,5.65
01/01/2004 12:00:00 AM,Eastern,M,0 to 9,"8,008","1,147",14.32
01/01/2004 12:00:00 AM,Eastern,M,10 to 19,"8,870","1,698",19.14
01/01/2004 12:00:00 AM,Eastern,M,20 to 29,"8,342",595,7.13
01/01/2004 12:00:00 AM,Eastern,M,30 to 39,"9,667",370,3.83
01/01/2004 12:00:00 AM,Eastern,M,40 to 49,"13,168",464,3.52
01/01/2004 12:00:00 AM,Eastern,M,50 to 59,"13,366",482,3.61
01/01/2004 12:00:00 AM,Eastern,M,60 to 69,"8,627",355,4.11
01/01/2004 12:00:00 AM,Eastern,M,70 to 79,"5,228",222,4.25
01/01/2004 12:00:00 AM,Eastern,M,80 +,"2,846",132,4.64
01/01/2004 12:00:00 AM,Northern,F,0 to 9,"7,358",716,9.73
01/01/2004 12:00:00 AM,Northern,F,10 to 19,"7,696","1,199",15.58
01/01/2004 12:00:00 AM,Northern,F,20 to 29,"7,978",855,10.72
01/01/2004 12:00:00 AM,Northern,F,30 to 39,"9,971",857,8.59
01/01/2004 12:00:00 AM,Northern,F,40 to 49,"12,441","1,004",8.07
01/01/2004 12:00:00 AM,Northern,F,50 to 59,"11,277",974,8.64
01/01/2004 12:00:00 AM,Northern,F,60 to 69,"7,298",590,8.08
01/01/2004 12:00:00 AM,Northern,F,70 to 79,"5,490",421,7.67
01/01/2004 12:00:00 AM,Northern,F,80 +,"4,729",262,5.54
01/01/2004 12:00:00 AM,Northern,M,0 to 9,"7,847","1,172",14.94
01/01/2004 12:00:00 AM,Northern,M,10 to 19,"8,258","1,524",18.45
01/01/2004 12:00:00 AM,Northern,M,20 to 29,"8,019",586,7.31
01/01/2004 12:00:00 AM,Northern,M,30 to 39,"9,594",409,4.26
01/01/2004 12:00:00 AM,Northern,M,40 to 49,"12,228",523,4.28
01/01/2004 12:00:00 AM,Northern,M,50 to 59,"11,304",457,4.04
01/01/2004 12:00:00 AM,Northern,M,60 to 69,"7,432",283,3.81
01/01/2004 12:00:00 AM,Northern,M,70 to 79,"4,545",209,4.6
01/01/2004 12:00:00 AM,Northern,M,80 +,"2,477",133,5.37
01/01/2004 12:00:00 AM,Unknown,F,0 to 9,"5,804",466,8.03
01/01/2004 12:00:00 AM,Unknown,F,10 to 19,"12,023","1,675",13.93
01/01/2004 12:00:00 AM,Unknown,F,20 to 29,"11,999","1,066",8.88
01/01/2004 12:00:00 AM,Unknown,F,30 to 39,"8,789",584,6.64
01/01/2004 12:00:00 AM,Unknown,F,40 to 49,"7,237",510,7.05
01/01/2004 12:00:00 AM,Unknown,F,50 to 59,"5,158",394,7.64
01/01/2004 12:00:00 AM,Unknown,F,60 to 69,"3,033",215,7.09
01/01/2004 12:00:00 AM,Unknown,F,70 to 79,"1,963",128,6.52
01/01/2004 12:00:00 AM,Unknown,F,80 +,"1,596",97,6.08
01/01/2004 12:00:00 AM,Unknown,M,0 to 9,"5,803",636,10.96
01/01/2004 12:00:00 AM,Unknown,M,10 to 19,"11,671","2,004",17.17
01/01/2004 12:00:00 AM,Unknown,M,20 to 29,"11,699",869,7.43
01/01/2004 12:00:00 AM,Unknown,M,30 to 39,"8,275",276,3.34
01/01/2004 12:00:00 AM,Unknown,M,40 to 49,"6,954",239,3.44
01/01/2004 12:00:00 AM,Unknown,M,50 to 59,"4,802",159,3.31
01/01/2004 12:00:00 AM,Unknown,M,60 to 69,"2,810",120,4.27
01/01/2004 12:00:00 AM,Unknown,M,70 to 79,"1,544",76,4.92
01/01/2004 12:00:00 AM,Unknown,M,80 +,802,39,4.86
01/01/2004 12:00:00 AM,Western,F,0 to 9,"8,902",845,9.49
01/01/2004 12:00:00 AM,Western,F,10 to 19,"9,739","1,499",15.39
01/01/2004 12:00:00 AM,Western,F,20 to 29,"9,833","1,059",10.77
01/01/2004 12:00:00 AM,Western,F,30 to 39,"12,455","1,041",8.36
01/01/2004 12:00:00 AM,Western,F,40 to 49,"17,280","1,393",8.06
01/01/2004 12:00:00 AM,Western,F,50 to 59,"15,595","1,337",8.57
01/01/2004 12:00:00 AM,Western,F,60 to 69,"10,608",840,7.92
01/01/2004 12:00:00 AM,Western,F,70 to 79,"7,697",548,7.12
01/01/2004 12:00:00 AM,Western,F,80 +,"6,433",397,6.17
01/01/2004 12:00:00 AM,Western,M,0 to 9,"9,460","1,323",13.99
01/01/2004 12:00:00 AM,Western,M,10 to 19,"10,309","1,940",18.82
01/01/2004 12:00:00 AM,Western,M,20 to 29,"9,784",669,6.84
01/01/2004 12:00:00 AM,Western,M,30 to 39,"12,111",584,4.82
01/01/2004 12:00:00 AM,Western,M,40 to 49,"16,601",713,4.29
01/01/2004 12:00:00 AM,Western,M,50 to 59,"15,411",649,4.21
01/01/2004 12:00:00 AM,Western,M,60 to 69,"10,560",499,4.73
01/01/2004 12:00:00 AM,Western,M,70 to 79,"6,736",352,5.23
01/01/2004 12:00:00 AM,Western,M,80 +,"3,746",206,5.5
01/01/2005 12:00:00 AM,Central,F,0 to 9,"18,843","1,855",9.84
01/01/2005 12:00:00 AM,Central,F,10 to 19,"24,119","4,561",18.91
01/01/2005 12:00:00 AM,Central,F,20 to 29,"24,753","3,145",12.71
01/01/2005 12:00:00 AM,Central,F,30 to 39,"28,195","2,861",10.15
01/01/2005 12:00:00 AM,Central,F,40 to 49,"32,938","3,409",10.35
01/01/2005 12:00:00 AM,Central,F,50 to 59,"26,659","2,954",11.08
01/01/2005 12:00:00 AM,Central,F,60 to 69,"16,270","1,734",10.66
01/01/2005 12:00:00 AM,Central,F,70 to 79,"11,350",996,8.78
01/01/2005 12:00:00 AM,Central,F,80 +,"9,150",676,7.39
01/01/2005 12:00:00 AM,Central,M,0 to 9,"19,597","2,946",15.03
01/01/2005 12:00:00 AM,Central,M,10 to 19,"24,978","5,673",22.71
01/01/2005 12:00:00 AM,Central,M,20 to 29,"24,081","2,457",10.2
01/01/2005 12:00:00 AM,Central,M,30 to 39,"25,711","1,474",5.73
01/01/2005 12:00:00 AM,Central,M,40 to 49,"31,304","1,694",5.41
01/01/2005 12:00:00 AM,Central,M,50 to 59,"25,057","1,295",5.17
01/01/2005 12:00:00 AM,Central,M,60 to 69,"15,285",876,5.73
01/01/2005 12:00:00 AM,Central,M,70 to 79,"9,255",523,5.65
01/01/2005 12:00:00 AM,Central,M,80 +,"4,656",284,6.1
01/01/2005 12:00:00 AM,Eastern,F,0 to 9,"7,464",710,9.51
01/01/2005 12:00:00 AM,Eastern,F,10 to 19,"8,230","1,379",16.76
01/01/2005 12:00:00 AM,Eastern,F,20 to 29,"8,113",758,9.34
01/01/2005 12:00:00 AM,Eastern,F,30 to 39,"9,580",695,7.25
01/01/2005 12:00:00 AM,Eastern,F,40 to 49,"13,574",919,6.77
01/01/2005 12:00:00 AM,Eastern,F,50 to 59,"13,299","1,024",7.7
01/01/2005 12:00:00 AM,Eastern,F,60 to 69,"9,035",680,7.53
01/01/2005 12:00:00 AM,Eastern,F,70 to 79,"6,373",402,6.31
01/01/2005 12:00:00 AM,Eastern,F,80 +,"5,483",314,5.73
01/01/2005 12:00:00 AM,Eastern,M,0 to 9,"7,846","1,086",13.84
01/01/2005 12:00:00 AM,Eastern,M,10 to 19,"8,898","1,846",20.75
01/01/2005 12:00:00 AM,Eastern,M,20 to 29,"8,310",675,8.12
01/01/2005 12:00:00 AM,Eastern,M,30 to 39,"9,547",427,4.47
01/01/2005 12:00:00 AM,Eastern,M,40 to 49,"12,926",494,3.82
01/01/2005 12:00:00 AM,Eastern,M,50 to 59,"13,605",527,3.87
01/01/2005 12:00:00 AM,Eastern,M,60 to 69,"8,907",375,4.21
01/01/2005 12:00:00 AM,Eastern,M,70 to 79,"5,336",240,4.5
01/01/2005 12:00:00 AM,Eastern,M,80 +,"2,874",129,4.49
01/01/2005 12:00:00 AM,Northern,F,0 to 9,"7,297",713,9.77
01/01/2005 12:00:00 AM,Northern,F,10 to 19,"7,768","1,279",16.46
01/01/2005 12:00:00 AM,Northern,F,20 to 29,"7,959",932,11.71
01/01/2005 12:00:00 AM,Northern,F,30 to 39,"9,740",898,9.22
01/01/2005 12:00:00 AM,Northern,F,40 to 49,"12,434","1,066",8.57
01/01/2005 12:00:00 AM,Northern,F,50 to 59,"11,577","1,049",9.06
01/01/2005 12:00:00 AM,Northern,F,60 to 69,"7,581",651,8.59
01/01/2005 12:00:00 AM,Northern,F,70 to 79,"5,507",421,7.64
01/01/2005 12:00:00 AM,Northern,F,80 +,"4,788",281,5.87
01/01/2005 12:00:00 AM,Northern,M,0 to 9,"7,786","1,137",14.6
01/01/2005 12:00:00 AM,Northern,M,10 to 19,"8,337","1,697",20.36
01/01/2005 12:00:00 AM,Northern,M,20 to 29,"7,973",660,8.28
01/01/2005 12:00:00 AM,Northern,M,30 to 39,"9,445",442,4.68
01/01/2005 12:00:00 AM,Northern,M,40 to 49,"12,143",535,4.41
01/01/2005 12:00:00 AM,Northern,M,50 to 59,"11,612",502,4.32
01/01/2005 12:00:00 AM,Northern,M,60 to 69,"7,671",312,4.07
01/01/2005 12:00:00 AM,Northern,M,70 to 79,"4,641",212,4.57
01/01/2005 12:00:00 AM,Northern,M,80 +,"2,527",132,5.22
01/01/2005 12:00:00 AM,Unknown,F,0 to 9,"5,269",392,7.44
01/01/2005 12:00:00 AM,Unknown,F,10 to 19,"11,241","1,659",14.76
01/01/2005 12:00:00 AM,Unknown,F,20 to 29,"11,830","1,136",9.6
01/01/2005 12:00:00 AM,Unknown,F,30 to 39,"8,521",577,6.77
01/01/2005 12:00:00 AM,Unknown,F,40 to 49,"7,143",532,7.45
01/01/2005 12:00:00 AM,Unknown,F,50 to 59,"5,194",421,8.11
01/01/2005 12:00:00 AM,Unknown,F,60 to 69,"3,091",231,7.47
01/01/2005 12:00:00 AM,Unknown,F,70 to 79,"1,855",135,7.28
01/01/2005 12:00:00 AM,Unknown,F,80 +,"1,595",88,5.52
01/01/2005 12:00:00 AM,Unknown,M,0 to 9,"5,400",578,10.7
01/01/2005 12:00:00 AM,Unknown,M,10 to 19,"10,690","1,935",18.1
01/01/2005 12:00:00 AM,Unknown,M,20 to 29,"11,520",976,8.47
01/01/2005 12:00:00 AM,Unknown,M,30 to 39,"7,955",301,3.78
01/01/2005 12:00:00 AM,Unknown,M,40 to 49,"6,878",249,3.62
01/01/2005 12:00:00 AM,Unknown,M,50 to 59,"4,848",170,3.51
01/01/2005 12:00:00 AM,Unknown,M,60 to 69,"2,826",129,4.56
01/01/2005 12:00:00 AM,Unknown,M,70 to 79,"1,529",68,4.45
01/01/2005 12:00:00 AM,Unknown,M,80 +,799,36,4.51
01/01/2005 12:00:00 AM,Western,F,0 to 9,"8,765",880,10.04
01/01/2005 12:00:00 AM,Western,F,10 to 19,"9,820","1,644",16.74
01/01/2005 12:00:00 AM,Western,F,20 to 29,"9,806","1,119",11.41
01/01/2005 12:00:00 AM,Western,F,30 to 39,"12,087","1,108",9.17
01/01/2005 12:00:00 AM,Western,F,40 to 49,"17,219","1,482",8.61
01/01/2005 12:00:00 AM,Western,F,50 to 59,"15,987","1,447",9.05
01/01/2005 12:00:00 AM,Western,F,60 to 69,"11,042",925,8.38
01/01/2005 12:00:00 AM,Western,F,70 to 79,"7,757",583,7.52
01/01/2005 12:00:00 AM,Western,F,80 +,"6,468",399,6.17
01/01/2005 12:00:00 AM,Western,M,0 to 9,"9,305","1,345",14.45
01/01/2005 12:00:00 AM,Western,M,10 to 19,"10,403","2,124",20.42
01/01/2005 12:00:00 AM,Western,M,20 to 29,"9,726",744,7.65
01/01/2005 12:00:00 AM,Western,M,30 to 39,"11,861",622,5.24
01/01/2005 12:00:00 AM,Western,M,40 to 49,"16,500",788,4.78
01/01/2005 12:00:00 AM,Western,M,50 to 59,"15,692",701,4.47
01/01/2005 12:00:00 AM,Western,M,60 to 69,"10,950",539,4.92
01/01/2005 12:00:00 AM,Western,M,70 to 79,"6,875",347,5.05
01/01/2005 12:00:00 AM,Western,M,80 +,"3,828",226,5.9
01/01/2006 12:00:00 AM,Central,F,0 to 9,"18,770","1,823",9.71
01/01/2006 12:00:00 AM,Central,F,10 to 19,"24,049","4,685",19.48
01/01/2006 12:00:00 AM,Central,F,20 to 29,"25,210","3,415",13.55
01/01/2006 12:00:00 AM,Central,F,30 to 39,"28,270","3,021",10.69
01/01/2006 12:00:00 AM,Central,F,40 to 49,"33,209","3,647",10.98
01/01/2006 12:00:00 AM,Central,F,50 to 59,"27,306","3,065",11.22
01/01/2006 12:00:00 AM,Central,F,60 to 69,"17,388","1,988",11.43
01/01/2006 12:00:00 AM,Central,F,70 to 79,"11,409","1,054",9.24
01/01/2006 12:00:00 AM,Central,F,80 +,"9,433",714,7.57
01/01/2006 12:00:00 AM,Central,M,0 to 9,"19,406","2,885",14.87
01/01/2006 12:00:00 AM,Central,M,10 to 19,"25,018","5,947",23.77
01/01/2006 12:00:00 AM,Central,M,20 to 29,"24,563","2,781",11.32
01/01/2006 12:00:00 AM,Central,M,30 to 39,"25,865","1,576",6.09
01/01/2006 12:00:00 AM,Central,M,40 to 49,"31,540","1,785",5.66
01/01/2006 12:00:00 AM,Central,M,50 to 59,"25,813","1,448",5.61
01/01/2006 12:00:00 AM,Central,M,60 to 69,"16,324",951,5.83
01/01/2006 12:00:00 AM,Central,M,70 to 79,"9,507",537,5.65
01/01/2006 12:00:00 AM,Central,M,80 +,"4,813",292,6.07
01/01/2006 12:00:00 AM,Eastern,F,0 to 9,"7,345",674,9.18
01/01/2006 12:00:00 AM,Eastern,F,10 to 19,"8,234","1,459",17.72
01/01/2006 12:00:00 AM,Eastern,F,20 to 29,"8,078",835,10.34
01/01/2006 12:00:00 AM,Eastern,F,30 to 39,"9,373",724,7.72
01/01/2006 12:00:00 AM,Eastern,F,40 to 49,"13,293",935,7.03
01/01/2006 12:00:00 AM,Eastern,F,50 to 59,"13,417","1,049",7.82
01/01/2006 12:00:00 AM,Eastern,F,60 to 69,"9,509",756,7.95
01/01/2006 12:00:00 AM,Eastern,F,70 to 79,"6,518",427,6.55
01/01/2006 12:00:00 AM,Eastern,F,80 +,"5,494",326,5.93
01/01/2006 12:00:00 AM,Eastern,M,0 to 9,"7,677","1,018",13.26
01/01/2006 12:00:00 AM,Eastern,M,10 to 19,"8,920","1,965",22.03
01/01/2006 12:00:00 AM,Eastern,M,20 to 29,"8,281",764,9.23
01/01/2006 12:00:00 AM,Eastern,M,30 to 39,"9,297",445,4.79
01/01/2006 12:00:00 AM,Eastern,M,40 to 49,"12,642",510,4.03
01/01/2006 12:00:00 AM,Eastern,M,50 to 59,"13,667",550,4.02
01/01/2006 12:00:00 AM,Eastern,M,60 to 69,"9,448",427,4.52
01/01/2006 12:00:00 AM,Eastern,M,70 to 79,"5,434",231,4.25
01/01/2006 12:00:00 AM,Eastern,M,80 +,"2,853",141,4.94
01/01/2006 12:00:00 AM,Northern,F,0 to 9,"7,268",732,10.07
01/01/2006 12:00:00 AM,Northern,F,10 to 19,"7,819","1,339",17.12
01/01/2006 12:00:00 AM,Northern,F,20 to 29,"7,825",922,11.78
01/01/2006 12:00:00 AM,Northern,F,30 to 39,"9,646",973,10.09
01/01/2006 12:00:00 AM,Northern,F,40 to 49,"12,365","1,079",8.73
01/01/2006 12:00:00 AM,Northern,F,50 to 59,"11,720","1,110",9.47
01/01/2006 12:00:00 AM,Northern,F,60 to 69,"8,034",743,9.25
01/01/2006 12:00:00 AM,Northern,F,70 to 79,"5,535",451,8.15
01/01/2006 12:00:00 AM,Northern,F,80 +,"4,834",291,6.02
01/01/2006 12:00:00 AM,Northern,M,0 to 9,"7,700","1,089",14.14
01/01/2006 12:00:00 AM,Northern,M,10 to 19,"8,493","1,822",21.45
01/01/2006 12:00:00 AM,Northern,M,20 to 29,"7,840",731,9.32
01/01/2006 12:00:00 AM,Northern,M,30 to 39,"9,381",487,5.19
01/01/2006 12:00:00 AM,Northern,M,40 to 49,"11,988",535,4.46
01/01/2006 12:00:00 AM,Northern,M,50 to 59,"11,752",539,4.59
01/01/2006 12:00:00 AM,Northern,M,60 to 69,"8,189",333,4.07
01/01/2006 12:00:00 AM,Northern,M,70 to 79,"4,743",223,4.7
01/01/2006 12:00:00 AM,Northern,M,80 +,"2,580",143,5.54
01/01/2006 12:00:00 AM,Unknown,F,0 to 9,"4,937",355,7.19
01/01/2006 12:00:00 AM,Unknown,F,10 to 19,"10,296","1,590",15.44
01/01/2006 12:00:00 AM,Unknown,F,20 to 29,"11,597","1,188",10.24
01/01/2006 12:00:00 AM,Unknown,F,30 to 39,"8,101",579,7.15
01/01/2006 12:00:00 AM,Unknown,F,40 to 49,"6,850",524,7.65
01/01/2006 12:00:00 AM,Unknown,F,50 to 59,"5,194",426,8.2
01/01/2006 12:00:00 AM,Unknown,F,60 to 69,"3,227",268,8.3
01/01/2006 12:00:00 AM,Unknown,F,70 to 79,"1,786",134,7.5
01/01/2006 12:00:00 AM,Unknown,F,80 +,"1,653",94,5.69
01/01/2006 12:00:00 AM,Unknown,M,0 to 9,"4,994",506,10.13
01/01/2006 12:00:00 AM,Unknown,M,10 to 19,"9,707","1,831",18.86
01/01/2006 12:00:00 AM,Unknown,M,20 to 29,"11,045","1,043",9.44
01/01/2006 12:00:00 AM,Unknown,M,30 to 39,"7,523",328,4.36
01/01/2006 12:00:00 AM,Unknown,M,40 to 49,"6,678",248,3.71
01/01/2006 12:00:00 AM,Unknown,M,50 to 59,"4,806",172,3.58
01/01/2006 12:00:00 AM,Unknown,M,60 to 69,"2,950",126,4.27
01/01/2006 12:00:00 AM,Unknown,M,70 to 79,"1,516",79,5.21
01/01/2006 12:00:00 AM,Unknown,M,80 +,791,30,3.79
01/01/2006 12:00:00 AM,Western,F,0 to 9,"8,702",920,10.57
01/01/2006 12:00:00 AM,Western,F,10 to 19,"9,830","1,721",17.51
01/01/2006 12:00:00 AM,Western,F,20 to 29,"9,771","1,200",12.28
01/01/2006 12:00:00 AM,Western,F,30 to 39,"11,942","1,186",9.93
01/01/2006 12:00:00 AM,Western,F,40 to 49,"16,908","1,534",9.07
01/01/2006 12:00:00 AM,Western,F,50 to 59,"16,158","1,506",9.32
01/01/2006 12:00:00 AM,Western,F,60 to 69,"11,768","1,054",8.96
01/01/2006 12:00:00 AM,Western,F,70 to 79,"7,823",609,7.78
01/01/2006 12:00:00 AM,Western,F,80 +,"6,563",429,6.54
01/01/2006 12:00:00 AM,Western,M,0 to 9,"9,140","1,308",14.31
01/01/2006 12:00:00 AM,Western,M,10 to 19,"10,485","2,287",21.81
01/01/2006 12:00:00 AM,Western,M,20 to 29,"9,683",852,8.8
01/01/2006 12:00:00 AM,Western,M,30 to 39,"11,610",648,5.58
01/01/2006 12:00:00 AM,Western,M,40 to 49,"16,279",815,5.01
01/01/2006 12:00:00 AM,Western,M,50 to 59,"15,847",748,4.72
01/01/2006 12:00:00 AM,Western,M,60 to 69,"11,539",601,5.21
01/01/2006 12:00:00 AM,Western,M,70 to 79,"7,061",379,5.37
01/01/2006 12:00:00 AM,Western,M,80 +,"3,886",223,5.74
01/01/2007 12:00:00 AM,Central,F,0 to 9,"18,862","1,791",9.5
01/01/2007 12:00:00 AM,Central,F,10 to 19,"23,957","4,758",19.86
01/01/2007 12:00:00 AM,Central,F,20 to 29,"25,666","3,617",14.09
01/01/2007 12:00:00 AM,Central,F,30 to 39,"28,473","3,205",11.26
01/01/2007 12:00:00 AM,Central,F,40 to 49,"33,352","3,760",11.27
01/01/2007 12:00:00 AM,Central,F,50 to 59,"27,916","3,236",11.59
01/01/2007 12:00:00 AM,Central,F,60 to 69,"18,623","2,186",11.74
01/01/2007 12:00:00 AM,Central,F,70 to 79,"11,507","1,102",9.58
01/01/2007 12:00:00 AM,Central,F,80 +,"9,594",734,7.65
01/01/2007 12:00:00 AM,Central,M,0 to 9,"19,523","2,754",14.11
01/01/2007 12:00:00 AM,Central,M,10 to 19,"25,061","6,069",24.22
01/01/2007 12:00:00 AM,Central,M,20 to 29,"24,866","3,131",12.59
01/01/2007 12:00:00 AM,Central,M,30 to 39,"26,160","1,698",6.49
01/01/2007 12:00:00 AM,Central,M,40 to 49,"31,446","1,853",5.89
01/01/2007 12:00:00 AM,Central,M,50 to 59,"26,601","1,582",5.95
01/01/2007 12:00:00 AM,Central,M,60 to 69,"17,445","1,031",5.91
01/01/2007 12:00:00 AM,Central,M,70 to 79,"9,706",563,5.8
01/01/2007 12:00:00 AM,Central,M,80 +,"4,950",291,5.88
01/01/2007 12:00:00 AM,Eastern,F,0 to 9,"7,263",629,8.66
01/01/2007 12:00:00 AM,Eastern,F,10 to 19,"8,290","1,526",18.41
01/01/2007 12:00:00 AM,Eastern,F,20 to 29,"8,028",891,11.1
